img,meanLum,sdLum
Van Cleve House.jpg,137.50816122449,23.2386424031473
Vikings Longhouse.jpg,137.468006122449,23.2397278792589
Walker Art Center.jpg,137.520267346939,23.3953809641805
Walter Library.jpg,137.494628571429,23.0938409433143
Walter Library_2.jpg,137.518071428571,23.1276327338629
Washington Ave Bridge.jpg,137.435812244898,23.2593520873633
Washington Ave SE.jpg,137.52232244898,23.1661297374938
Washington Avenue Bridge.jpg,137.498173469388,23.1061864834213
Wcco.jpg,137.501640816327,23.1269206452613
Weisman Art Museum.jpg,137.593526530612,23.3047199329968
Wells Fargo 550 Tower.jpg,137.500851020408,23.1497362635448
Wells Fargo Center.jpg,137.518679591837,23.1604212461116
Wells Fargo Center_2.jpg,137.530163265306,23.2511955447254
West Bank Sign.jpg,137.505563265306,23.0797534222026
Whole Foods On Nicollet.jpg,137.559530612245,23.1631587978402
Wilson Library.jpg,137.50817755102,23.1148145459791
Winslow House Hotel Statue.jpg,137.52022244898,23.1544863028856
Winthrop School East High School Statue.jpg,137.523734693878,23.1514276884007
Woodbury Fisk House Statue.jpg,137.477893877551,23.0971913013948
