SourceName,ProcessedName
Sullivan_SooLineBuilding,Soo Line Building
Sullivan_StThomas,St Thomas
Sullivan_Target,Target
Sullivan_TheNewsRoom,The News Room
Sullivan_ThirdPrecinct,Third Precinct
Sullivan_UptownCrown,Uptown Crown
Sullivan_WCCO,Wcco
Sullivan_WellsFargoCenter,Wells Fargo Center
Twins Stadium,Twins Stadium
UMN Armory,UMN Armory
US Bank Stadium Station,US Bank Stadium Station
Walter Library,Walter Library
Washington Ave SE,Washington Ave SE
Washington_Avenue_Bridge,Washington Avenue Bridge
Wells Fargo Center,Wells Fargo Center
West_Bank,West Bank
