Buchanan_ComoConservatory_cropped.jpg,Buchanan_Fairgrounds_cropped.jpg,Buchanan_JamesJHillHouse_cropped.jpg,Buchanan_NYLifeEagle_cropped.jpg,Buchanan_StThomasCathedral_cropped.jpg,Ichel_EcolabBuilding_cropped.jpg,Ichel_MinnesotaHistoryCenter_cropped.jpg,Ichel_Ordway_cropped.jpg,Ichel_ScienceMuseum_cropped.jpg,Ichel_StPaulCathedral_cropped.jpg,Ichel_StPaulLibrary_cropped.jpg,Ichel_XcelEnergyCenter_cropped.jpg,pooled
47870,42631,38341,38290,36791,39041,37085,54708,24694,41531,43296,46264,40878.5
42348,40226,36323,45351,42784,43670,42346,42392,28624,43374,47835,42892,41513.75
48511,43004,35684,54295,48564,49937,42061,47173,44500,39060,46236,42560,45132.0833333333
50934,53558,36389,47782,46523,50404,56385,47165,54009,51301,47203,48789,49203.5
43732,56688,44074,51822,49409,58784,60378,59042,47270,55334,55280,50623,52703
60571,48917,58065,59240,56628,52231,58102,55616,68705,52390,57711,53572,56812.3333333333
63826,60991,68721,47783,48313,58756,55169,53319,54530,51918,65131,51984,56703.4166666667
55427,64123,59020,58605,67816,57345,54688,53330,49362,51274,48579,54290,56154.9166666667
44609,43638,54779,53200,46846,53008,51868,49113,59839,49026,50000,54862,50899
61753,51890,45153,52808,62905,47782,44289,53739,57219,47210,46163,51584,51874.5833333333
44400,35131,45785,44052,39585,47964,36581,47119,41356,43714,40059,46773,42709.9166666667
40388,58677,46100,44421,42221,42917,41977,43034,38660,40984,46316,43562,44104.75
41279,28924,39067,31126,37843,40276,41261,37350,34688,36657,40026,37932,37202.4166666667
29310,32066,33818,35547,32437,33198,32781,31159,38584,31717,32187,34392,33099.6666666667
29963,28228,29281,28621,31665,25264,32531,29448,31721,28016,30987,28427,29512.6666666667
21703,26302,24485,28984,26133,22644,28867,24207,25654,26034,26307,25544,25572
23032,25297,20650,23172,19950,21444,21938,20641,27195,22238,22466,22468,22540.9166666667
20226,18757,21725,18488,17198,21343,16806,20195,19504,24999,19225,19724,19849.1666666667
20826,16411,18005,15419,17084,18488,14113,17897,15405,17008,17651,16607,17076.1666666667
12523,15115,14192,12912,14439,15351,11953,11658,14841,14608,14056,14492,13845
14256,10944,11873,10837,11553,10982,9855,9337,11500,12342,10966,11377,11318.5
7352,8590,12317,9067,9739,8106,8428,7554,10751,10002,7478,9602,9082.16666666667
7557,7172,8288,7802,7948,6527,7295,7036,7098,8655,7117,7716,7517.58333333333
7081,5798,5585,6807,6736,5036,7777,6064,6989,7141,7136,6216,6530.5
4686,5627,4335,5363,4753,4460,5897,5531,5024,5941,5661,5580,5238.16666666667
4839,4961,4159,4483,4269,3584,4864,4686,4364,4815,5401,4153,4548.16666666667
2929,3848,3784,3565,4304,3056,4502,3953,4317,4068,4348,3264,3828.16666666667
3049,3365,3515,3106,3004,2936,3587,3173,2967,3339,3635,2861,3211.41666666667
2487,2246,2655,2540,2299,2291,2661,2560,2025,2883,2396,1993,2419.66666666667
1841,2112,1799,2068,1963,2090,2233,2100,1725,2373,2322,1843,2039.08333333333
1261,1459,1100,1592,1778,1747,1783,1725,1437,1579,1263,1466,1515.83333333333
1013,1181,965,1484,1419,1561,1277,1438,1251,1352,993,1231,1263.75
770,856,833,1083,1101,1311,1057,1094,1092,1159,942,943,1020.08333333333
725,735,676,959,815,1075,965,1082,869,900,777,842,868.333333333333
652,667,594,663,752,898,757,788,759,732,736,840,736.5
534,546,515,485,575,781,596,631,611,542,479,571,572.166666666667
455,422,459,447,457,621,475,547,574,426,457,464,483.666666666667
383,305,410,426,404,502,345,369,452,323,331,487,394.75
288,318,328,306,349,442,280,326,377,293,310,379,333
242,203,252,248,278,402,243,306,313,235,281,302,275.416666666667
217,187,229,202,242,292,201,257,273,248,173,285,233.833333333333
226,154,170,178,242,239,193,215,202,156,172,216,196.916666666667
179,166,159,144,212,196,170,208,163,123,128,175,168.583333333333
119,134,137,148,181,158,175,168,143,126,125,184,149.833333333333
137,126,109,134,136,160,129,168,146,125,125,151,137.166666666667
108,139,134,134,120,114,166,119,143,109,114,115,126.25
118,120,94,98,115,122,119,106,128,99,105,113,111.416666666667
95,84,91,78,78,101,91,85,98,80,81,89,87.5833333333333
111,86,77,80,69,80,87,92,81,66,94,88,84.25
61,75,62,61,57,63,66,77,70,49,60,67,64
74,37,48,45,62,64,51,62,63,44,67,41,54.8333333333333
39,64,45,26,43,43,47,65,66,47,45,57,48.9166666666667
43,42,39,25,43,29,31,37,37,36,47,41,37.5
36,39,33,30,31,22,26,35,46,21,35,42,33
31,34,26,21,38,31,24,25,28,19,29,16,26.8333333333333
16,21,25,15,23,23,16,27,30,16,29,35,23
34,20,25,12,18,13,18,20,33,10,21,20,20.3333333333333
12,17,20,13,11,12,12,19,22,13,18,18,15.5833333333333
19,14,11,17,16,13,15,15,12,12,18,15,14.75
11,16,14,11,10,12,15,12,12,11,17,13,12.8333333333333
7,14,15,10,14,6,7,15,9,7,7,9,10
12,12,10,4,6,5,5,3,7,4,9,6,6.91666666666667
9,9,14,4,4,3,9,7,8,8,5,11,7.58333333333333
9,5,6,7,5,10,9,8,5,11,7,5,7.25
10,6,6,3,7,8,6,4,7,8,4,3,6
2,5,2,4,5,3,11,6,3,5,8,4,4.83333333333333
2,4,6,4,4,2,8,5,3,2,3,1,3.66666666666667
5,2,3,5,5,5,2,1,3,1,3,3,3.16666666666667
3,1,0,4,1,1,1,3,4,1,5,1,2.08333333333333
5,3,1,3,1,3,5,2,1,0,3,1,2.33333333333333
