Img_pre	Mean_pre	SD_pre	Img_post	Mean_post	SD_post
Harriet Island Park.jpg	114.5923	56.9470	cielab_Harriet Island Park.jpg	137.5183	23.1644
Harriet Island Pavilion.jpg	113.9781	49.4009	cielab_Harriet Island Pavilion.jpg	137.5183	23.1644
Healthy Living Supermarket South Burlington.jpg	124.5102	71.0157	cielab_Healthy Living Supermarket South Burlington.jpg	137.5183	23.1644
Heimie’s Haberdashery.jpg	70.6713	52.3922	cielab_Heimie’s Haberdashery.jpg	137.5183	23.1644
Hennepin Avenue Bridge.jpg	136.2168	69.7937	cielab_Hennepin Avenue Bridge.jpg	137.5183	23.1644
Hennepin County Government Center.jpg	150.1949	51.9778	cielab_Hennepin County Government Center.jpg	137.5183	23.1644
Hennepin County Medical Center.jpg	134.8851	76.9427	cielab_Hennepin County Medical Center.jpg	137.5183	23.1644
Hennepin County Sheriff’s Office.jpg	147.6850	59.4661	cielab_Hennepin County Sheriff’s Office.jpg	137.5183	23.1644
Hennepin Theater.jpg	119.2856	73.0683	cielab_Hennepin Theater.jpg	137.5183	23.1644
Herb Brooks Statue.jpg	135.3032	45.2498	cielab_Herb Brooks Statue.jpg	137.5183	23.1644
High Bridge Overlook.jpg	155.1384	79.7911	cielab_High Bridge Overlook.jpg	137.5183	23.1644
High Bridge.jpg	119.9996	52.0912	cielab_High Bridge.jpg	137.5183	23.1644
Highland Park Crisp And Green.jpg	120.4771	43.8471	cielab_Highland Park Crisp And Green.jpg	137.5183	23.1644
Holman Field.jpg	113.3368	44.6552	cielab_Holman Field.jpg	137.5183	23.1644
Hope Community Church.jpg	137.5364	49.0568	cielab_Hope Community Church.jpg	137.5183	23.1644
Horace Mann Playground.jpg	142.1761	52.1993	cielab_Horace Mann Playground.jpg	137.5183	23.1644
Hubert H Humphrey Statue.jpg	121.1772	69.6163	cielab_Hubert H Humphrey Statue.jpg	137.5183	23.1644
Huntoon Park.jpg	130.5976	68.9054	cielab_Huntoon Park.jpg	137.5183	23.1644
